epoch,train_loss,val_loss,val_mae,val_pearson
1,0.2786412754531262,0.12681876951163368,0.18234410881996155,0.9363115
2,0.09058649606092894,0.09347716337513357,0.15460018813610077,0.9504071
3,0.04889769742502332,0.08718072860002783,0.11939078569412231,0.95287824
4,0.03458406543151276,0.12045995088382846,0.2262168675661087,0.94029224
5,0.3074460814961986,0.1281222795978898,0.20360036194324493,0.93414664
6,0.11856856700476437,0.10364890938979529,0.15673597157001495,0.9442937
7,0.08208706390845084,0.11309989975000333,0.14035463333129883,0.93996596
8,0.05030831344690038,0.10438027577003509,0.11882664263248444,0.94304
9,0.04701593994468567,0.11044115881391224,0.15468381345272064,0.9414504
10,0.025949374795129102,0.1089529647281216,0.12323399633169174,0.9414731
11,0.01986826088830726,0.10896828867095922,0.12435949593782425,0.9404144
12,0.029677849186901722,0.11674364351312674,0.13981880247592926,0.93665475
