epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.7764530551415797,0.7733677114004306,0.9166666666666666,0.9235542431258217
2,0.8718330849478391,0.8931912194649205,0.9226190476190477,0.9310208719511056
3,0.9463487332339792,0.9500480135260996,0.9226190476190477,0.9299773494024366
4,0.9679582712369598,0.9689378133522216,0.9315476190476191,0.9284656626404352
5,0.966467958271237,0.9678536434833976,0.9226190476190477,0.9190957046399734
6,0.9932935916542474,0.9933573749074669,0.9315476190476191,0.9322059696011943
7,0.9985096870342772,0.9985096870342772,0.9345238095238095,0.9310360407746271
8,0.9992548435171386,0.9992547491120023,0.9315476190476191,0.9308778903134984
9,1.0,1.0,0.9345238095238095,0.9316391941391942
10,1.0,1.0,0.9375,0.9356130641844929
11,1.0,1.0,0.9345238095238095,0.9326779442619959
12,1.0,1.0,0.9375,0.9356527868601096
13,1.0,1.0,0.9375,0.9356527868601096
14,1.0,1.0,0.9375,0.9356527868601096
15,1.0,1.0,0.9375,0.9356527868601096
16,1.0,1.0,0.9375,0.9356527868601096
17,1.0,1.0,0.9375,0.9356527868601096
18,1.0,1.0,0.9375,0.9356527868601096
19,1.0,1.0,0.9375,0.9356527868601096
20,1.0,1.0,0.9375,0.9356527868601096
21,1.0,1.0,0.9375,0.9356527868601096
