epoch,train_loss,val_loss,val_mae,val_pearson
1,0.3903180927186874,0.3202646560554879,0.3978610336780548,0.78640115
2,0.27088468687241263,0.3419513525029199,0.3931152820587158,0.77272904
3,0.1889915921216306,0.3480459200527387,0.3618583381175995,0.78561205
4,0.1118846352567314,0.34520655461644706,0.3612728416919708,0.7711587
5,0.07896484774558035,0.35623210400087446,0.3622118830680847,0.7680284
6,0.04697886015368035,0.36010010925789193,0.3706221282482147,0.7676776
7,0.029577699086180746,0.34153239267612434,0.3355083167552948,0.776278
8,0.016764993110941123,0.3479595111005124,0.32733574509620667,0.774597
9,0.010281450685992333,0.3551688689091531,0.3185546398162842,0.773146
10,0.005541922562290241,0.33542068191830776,0.3188585340976715,0.78126216
