epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.41654879773691655,0.41546716503871284,0.4971751412429379,0.45537842438461074
2,0.5565770862800565,0.5528611927295408,0.518361581920904,0.5235687726995991
3,0.6534653465346535,0.6540680323861321,0.556497175141243,0.5397061053890716
4,0.7570721357850071,0.7578192358745379,0.5282485875706214,0.5391176588563018
5,0.8398161244695899,0.8404623214871682,0.5437853107344632,0.5465287727553846
6,0.9328147100424328,0.9330273707537492,0.5338983050847458,0.528238687547786
7,0.9741867043847242,0.9741948543485436,0.536723163841808,0.534789659948192
8,0.9816124469589816,0.9816200280492449,0.5338983050847458,0.5355715123474386
9,0.9660537482319661,0.9661090913849774,0.518361581920904,0.5241266642396107
10,0.9823196605374823,0.9823173830131153,0.5282485875706214,0.5297358147661824
11,0.9837340876944838,0.9837437987820826,0.5141242937853108,0.5138925897593005
12,0.9897454031117398,0.9897477811834915,0.5310734463276836,0.5295630955288239
13,0.9833804809052333,0.9833962362664411,0.5141242937853108,0.5231618665822898
14,0.9893917963224894,0.9893901315777185,0.538135593220339,0.5306389831184821
