epoch,train_loss,val_loss,val_mae,val_pearson
1,1.1773750545556139,0.9315044191148546,0.7764481902122498,0.7514393
2,0.7202148040761801,0.7095006187756856,0.6710556149482727,0.7953265
3,0.5976968213122766,0.7026567867232694,0.6369626522064209,0.80481875
4,0.5689807959339198,0.679665114151107,0.6566986441612244,0.8125734
5,0.4548624189210539,0.6756186623074528,0.6231269240379333,0.8115592
6,0.42485683938326624,0.7624667733097643,0.6510039567947388,0.81687105
7,0.3750252522924701,0.6474666142215332,0.6136447191238403,0.81535715
8,0.3082702610307798,0.6922558200235168,0.6189858317375183,0.8136719
9,0.2707914165860298,0.7239799945822193,0.6215640306472778,0.8018738
10,0.22303068420800173,0.8442891533771116,0.6832180619239807,0.8094308
11,0.2242180163364242,3.88046633137597,1.6370009183883667,0.2392375
12,0.42690856032678726,0.6879531264305114,0.6188042759895325,0.8091948
13,0.21683328547606281,0.7093833824826612,0.6208731532096863,0.79993165
14,0.1629708631470257,0.7713120910856459,0.6348909735679626,0.7955871
15,0.13896671187586518,0.723590954972638,0.6468294262886047,0.7959112
