Epoch 1/100 | Train Loss: 1.1774 | Val Loss: 0.9315 | MAE: 0.7764 | Pearson: 0.7514
Epoch 2/100 | Train Loss: 0.7202 | Val Loss: 0.7095 | MAE: 0.6711 | Pearson: 0.7953
Epoch 3/100 | Train Loss: 0.5977 | Val Loss: 0.7027 | MAE: 0.6370 | Pearson: 0.8048
Epoch 4/100 | Train Loss: 0.5690 | Val Loss: 0.6797 | MAE: 0.6567 | Pearson: 0.8126
Epoch 5/100 | Train Loss: 0.4549 | Val Loss: 0.6756 | MAE: 0.6231 | Pearson: 0.8116
Epoch 6/100 | Train Loss: 0.4249 | Val Loss: 0.7625 | MAE: 0.6510 | Pearson: 0.8169
Epoch 7/100 | Train Loss: 0.3750 | Val Loss: 0.6475 | MAE: 0.6136 | Pearson: 0.8154
Epoch 8/100 | Train Loss: 0.3083 | Val Loss: 0.6923 | MAE: 0.6190 | Pearson: 0.8137
Epoch 9/100 | Train Loss: 0.2708 | Val Loss: 0.7240 | MAE: 0.6216 | Pearson: 0.8019
Epoch 10/100 | Train Loss: 0.2230 | Val Loss: 0.8443 | MAE: 0.6832 | Pearson: 0.8094
Epoch 11/100 | Train Loss: 0.2242 | Val Loss: 3.8805 | MAE: 1.6370 | Pearson: 0.2392
Epoch 12/100 | Train Loss: 0.4269 | Val Loss: 0.6880 | MAE: 0.6188 | Pearson: 0.8092
Epoch 13/100 | Train Loss: 0.2168 | Val Loss: 0.7094 | MAE: 0.6209 | Pearson: 0.7999
Epoch 14/100 | Train Loss: 0.1630 | Val Loss: 0.7713 | MAE: 0.6349 | Pearson: 0.7956
Epoch 15/100 | Train Loss: 0.1390 | Val Loss: 0.7236 | MAE: 0.6468 | Pearson: 0.7959
Epoch 16/100 | Train Loss: 0.1055 | Val Loss: 0.7608 | MAE: 0.6269 | Pearson: 0.7956
