epoch,train_loss,val_loss,val_mae,val_pearson
1,0.37489855114139303,0.29186578940567187,0.40245863795280457,0.7980016
2,0.2536849445847179,0.31262861954592236,0.3609727621078491,0.79499555
3,0.20131868586313814,0.294741401086207,0.3731309771537781,0.7979336
4,0.1172396024779939,0.3106916786163254,0.3774099349975586,0.7820113
5,0.05523571154353583,0.3277937319063771,0.3625469505786896,0.7885666
6,0.030081883818711342,0.2988786620996579,0.34515050053596497,0.79664046
7,0.018389202517812488,0.30023208819741826,0.3376076817512512,0.79763067
8,0.012410620411436183,0.31625197388734505,0.3443586826324463,0.787995
9,0.011084630966915475,0.29845629966162573,0.32298970222473145,0.8001908
10,0.007747011786035598,0.3129809421932209,0.32694628834724426,0.7904576
11,0.006622639278653583,0.3105744294187598,0.31690821051597595,0.79437685
12,0.005823866430253922,0.31971583959638283,0.3284454047679901,0.78625506
13,0.00935296841065643,0.3588727384772712,0.33901679515838623,0.76810384
14,0.12895864651096,0.32480814299686295,0.3745808005332947,0.78790236
15,0.02351579934223338,0.3112562689518111,0.33876481652259827,0.7875521
16,0.010593637421961044,0.32997078276267666,0.3184225559234619,0.78329587
17,0.003755226312876326,0.33974442651842524,0.3185220956802368,0.78148764
18,0.00223693722414272,0.3166134293465174,0.3146064877510071,0.78702223
