epoch,train_loss,val_loss,val_mae,val_pearson,val_r2
1,0.7163789414167404,0.49244159554678296,0.5537552237510681,0.7869235,0.613347053527832
2,0.4373823407292366,0.4991531064586034,0.5625709891319275,0.8179159,0.6084256172180176
3,0.3799509215950966,0.4450042668789152,0.5239826440811157,0.82524514,0.6505818963050842
4,0.31888303712010385,0.426793239774212,0.5100070834159851,0.821958,0.6645464301109314
5,0.22883338405191897,0.43247020126335206,0.5144754648208618,0.81293714,0.6605591773986816
6,0.09845259508490563,0.48544075635690537,0.5419513583183289,0.8052609,0.61890709400177
7,0.08131006104499101,0.4702515382142294,0.528834342956543,0.8111581,0.6310406923294067
8,0.05074500135332346,0.4440078517747304,0.5146913528442383,0.81465304,0.6513296365737915
9,0.03249123271554708,0.44173761847473325,0.5154709219932556,0.81440055,0.653239369392395
10,0.024012224193662404,0.4381749783716505,0.5187248587608337,0.8133707,0.6557836532592773
11,0.019582849591970444,0.43026082690746065,0.5127151012420654,0.8153388,0.6619056463241577
12,0.016322593320161106,0.4261242619582585,0.5084140300750732,0.818236,0.6652185916900635
13,0.011965163719840348,0.4289970496107662,0.5105936527252197,0.8157476,0.6628614664077759
14,0.011659349685534835,0.4307551516426934,0.5124040246009827,0.81755495,0.6615203619003296
15,0.016820581328123807,0.42745657619975863,0.5091208815574646,0.8187577,0.6640620231628418
16,0.02251763582788408,0.4290334542119314,0.5097839832305908,0.8168424,0.6629502773284912
17,0.024639277514070274,0.43950189212484964,0.5142369270324707,0.8187299,0.6545220613479614
18,0.02140614302456379,0.4253288483808911,0.5068390369415283,0.8189858,0.6657332181930542
19,0.015163942789658904,0.43829577853755347,0.5159152746200562,0.81856626,0.6556768417358398
20,0.01809756219573319,0.4249924908554743,0.5055602788925171,0.8218658,0.6664362549781799
21,0.020836122313514352,0.4158731571265629,0.49984416365623474,0.8215597,0.6729508638381958
22,0.018366940531879664,0.42336601361868875,0.5063247680664062,0.8202967,0.6671773195266724
