Epoch 1/100 | Train Loss: 0.8894 | Val Loss: 0.6603 | MAE: 0.6440 | Pearson: 0.7067 | R2: 0.4842
Epoch 2/100 | Train Loss: 0.6189 | Val Loss: 0.5945 | MAE: 0.6021 | Pearson: 0.7378 | R2: 0.5328
Epoch 3/100 | Train Loss: 0.5435 | Val Loss: 0.5146 | MAE: 0.5550 | Pearson: 0.7726 | R2: 0.5961
Epoch 4/100 | Train Loss: 0.4856 | Val Loss: 0.5565 | MAE: 0.5763 | Pearson: 0.7767 | R2: 0.5624
Epoch 5/100 | Train Loss: 0.4446 | Val Loss: 0.6469 | MAE: 0.6243 | Pearson: 0.7792 | R2: 0.4894
Epoch 6/100 | Train Loss: 0.4103 | Val Loss: 0.6636 | MAE: 0.6385 | Pearson: 0.7849 | R2: 0.4761
Epoch 7/100 | Train Loss: 0.3965 | Val Loss: 0.5148 | MAE: 0.5579 | Pearson: 0.7922 | R2: 0.5945
Epoch 8/100 | Train Loss: 0.3574 | Val Loss: 0.4816 | MAE: 0.5286 | Pearson: 0.7911 | R2: 0.6214
Epoch 9/100 | Train Loss: 0.3411 | Val Loss: 0.4912 | MAE: 0.5401 | Pearson: 0.7923 | R2: 0.6129
Epoch 10/100 | Train Loss: 0.3226 | Val Loss: 0.5596 | MAE: 0.5765 | Pearson: 0.7905 | R2: 0.5584
Epoch 11/100 | Train Loss: 0.3511 | Val Loss: 0.6418 | MAE: 0.6241 | Pearson: 0.7838 | R2: 0.4940
Epoch 12/100 | Train Loss: 0.3427 | Val Loss: 0.5826 | MAE: 0.5863 | Pearson: 0.7880 | R2: 0.5407
Epoch 13/100 | Train Loss: 0.2923 | Val Loss: 0.5632 | MAE: 0.5823 | Pearson: 0.7876 | R2: 0.5568
Epoch 14/100 | Train Loss: 0.2786 | Val Loss: 0.5455 | MAE: 0.5661 | Pearson: 0.7912 | R2: 0.5708
Epoch 15/100 | Train Loss: 0.2332 | Val Loss: 0.4878 | MAE: 0.5301 | Pearson: 0.7891 | R2: 0.6159
Epoch 16/100 | Train Loss: 0.1936 | Val Loss: 0.5581 | MAE: 0.5754 | Pearson: 0.7886 | R2: 0.5622
Epoch 17/100 | Train Loss: 0.1471 | Val Loss: 0.5289 | MAE: 0.5560 | Pearson: 0.7738 | R2: 0.5825
Epoch 18/100 | Train Loss: 0.0968 | Val Loss: 0.5680 | MAE: 0.5677 | Pearson: 0.7773 | R2: 0.5509
Epoch 19/100 | Train Loss: 0.0599 | Val Loss: 0.5478 | MAE: 0.5685 | Pearson: 0.7759 | R2: 0.5671
Epoch 20/100 | Train Loss: 0.0372 | Val Loss: 0.5421 | MAE: 0.5669 | Pearson: 0.7701 | R2: 0.5718
Epoch 21/100 | Train Loss: 0.0176 | Val Loss: 0.5338 | MAE: 0.5580 | Pearson: 0.7730 | R2: 0.5786
Epoch 22/100 | Train Loss: 0.0119 | Val Loss: 0.5500 | MAE: 0.5654 | Pearson: 0.7718 | R2: 0.5656
Epoch 23/100 | Train Loss: 0.0087 | Val Loss: 0.5506 | MAE: 0.5627 | Pearson: 0.7736 | R2: 0.5649
Epoch 24/100 | Train Loss: 0.0066 | Val Loss: 0.5480 | MAE: 0.5614 | Pearson: 0.7748 | R2: 0.5673
Epoch 25/100 | Train Loss: 0.0079 | Val Loss: 0.5311 | MAE: 0.5536 | Pearson: 0.7760 | R2: 0.5805
Epoch 26/100 | Train Loss: 0.0118 | Val Loss: 0.5468 | MAE: 0.5592 | Pearson: 0.7771 | R2: 0.5681
Epoch 27/100 | Train Loss: 0.0291 | Val Loss: 0.5637 | MAE: 0.5685 | Pearson: 0.7704 | R2: 0.5542
Epoch 28/100 | Train Loss: 0.0388 | Val Loss: 0.5401 | MAE: 0.5475 | Pearson: 0.7777 | R2: 0.5740
Epoch 29/100 | Train Loss: 0.0303 | Val Loss: 0.5167 | MAE: 0.5352 | Pearson: 0.7794 | R2: 0.5917
