epoch,train_accuracy,train_f1_score,val_accuracy,val_f1_score
1,0.7758749069247952,0.7886730197775121,0.9255952380952381,0.9227675805056756
2,0.91734921816828,0.9233358648541606,0.9196428571428571,0.9283011567617485
3,0.9463886820551005,0.9490439186727638,0.9345238095238095,0.9333656614941608
4,0.9784065524944154,0.9787335357326987,0.9345238095238095,0.9331616825626835
5,0.9739389426656738,0.9746775059052184,0.9345238095238095,0.9252260764825109
6,0.9947877885331348,0.9948586592748421,0.9434523809523809,0.9415260221142545
7,0.9873417721518988,0.9876053043610524,0.9464285714285714,0.9427719702689872
8,0.9985107967237528,0.9985107967237528,0.9494047619047619,0.9488096970004866
9,1.0,1.0,0.9434523809523809,0.9413769765498489
10,1.0,1.0,0.9434523809523809,0.9413769765498489
11,1.0,1.0,0.9434523809523809,0.9413769765498489
12,1.0,1.0,0.9434523809523809,0.9413769765498489
13,1.0,1.0,0.9434523809523809,0.9413769765498489
14,1.0,1.0,0.9434523809523809,0.9413769765498489
15,1.0,1.0,0.9434523809523809,0.9413769765498489
16,1.0,1.0,0.9434523809523809,0.9413769765498489
17,1.0,1.0,0.9464285714285714,0.9443718299580368
